time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),uv_index_max (),uv_index_clear_sky_max (),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),precipitation_sum (mm),precipitation_hours (h),precipitation_probability_max (%),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C),apparent_temperature_mean (°C),cape_mean (J/kg),cape_max (J/kg),cape_min (J/kg),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),dew_point_2m_mean (°C),dew_point_2m_max (°C),dew_point_2m_min (°C),et0_fao_evapotranspiration_sum (mm),growing_degree_days_base_0_limit_50 (undefined),leaf_wetness_probability_mean (undefined),precipitation_probability_mean (%),precipitation_probability_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),snowfall_water_equivalent_sum (mm),pressure_msl_mean (hPa),pressure_msl_max (hPa),pressure_msl_min (hPa),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),updraft_max (m/s),visibility_mean (m),visibility_min (m),visibility_max (m),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),wet_bulb_temperature_2m_mean (°C),wet_bulb_temperature_2m_max (°C),wet_bulb_temperature_2m_min (°C),vapour_pressure_deficit_max (kPa),soil_moisture_0_to_100cm_mean (undefined),soil_moisture_0_to_10cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (undefined),soil_moisture_28_to_100cm_mean (undefined),soil_moisture_7_to_28cm_mean (undefined),soil_temperature_0_to_100cm_mean (undefined),soil_temperature_0_to_7cm_mean (undefined),soil_temperature_28_to_100cm_mean (undefined),soil_temperature_7_to_28cm_mean (undefined)
2021-04-02,3,7.1,1.7,1.9,-2.1,2021-04-01T20:22,2021-04-02T09:09,46132.66,40533.80,5.15,5.70,0.00,0.00,0.00,0.00,0.0,NaN,25.2,33.1,319,14.85,2.27,4.7,0.0,1.2,10.0,0.0,100,100,95,-4.7,-1.2,-6.6,2.27,NaN,NaN,NaN,NaN,52,80,39,0.00,1031.7,1034.0,1030.1,954.2,956.2,952.2,NaN,24140.00,24140.00,24140.00,319,15.0,13.6,7.2,2.9,0.7,1.8,-0.2,0.62,NaN,0.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-03,3,9.5,3.7,5.3,-0.9,2021-04-02T20:20,2021-04-03T09:11,46311.15,42469.32,5.70,5.80,0.00,0.00,0.00,0.00,0.0,NaN,18.8,18.7,105,21.96,3.00,6.5,2.6,0.0,0.0,0.0,13,100,0,-5.1,-1.9,-8.7,3.00,NaN,NaN,NaN,NaN,44,66,35,0.00,1022.0,1029.4,1018.1,945.7,951.8,942.2,NaN,24140.00,24140.00,24140.00,105,9.3,9.7,4.3,4.6,1.6,3.3,-0.9,0.77,NaN,0.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-04,51,15.6,8.5,9.3,1.5,2021-04-03T20:18,2021-04-04T09:12,46489.67,42474.55,6.05,6.05,0.40,0.00,0.00,0.40,1.0,NaN,39.4,49.0,78,22.40,4.30,11.6,6.8,0.4,10.0,0.0,63,100,0,-3.6,5.0,-7.4,4.30,NaN,NaN,NaN,NaN,37,76,20,0.00,1013.7,1021.8,1008.5,939.3,946.0,935.3,NaN,24138.33,24100.00,24140.00,78,25.7,17.3,4.3,1.4,5.0,6.9,3.3,1.42,NaN,0.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-05,53,12.4,5.8,8.1,1.8,2021-04-04T20:16,2021-04-05T09:13,46668.10,32463.35,4.95,6.05,1.40,0.00,0.00,1.40,3.0,NaN,32.8,43.6,278,13.28,2.29,9.1,5.4,2.1,20.0,0.0,60,100,7,2.1,4.5,1.1,2.29,NaN,NaN,NaN,NaN,62,79,47,0.00,1025.6,1027.9,1022.6,949.7,951.2,947.2,NaN,24025.00,21720.00,24140.00,278,20.3,14.0,2.9,1.3,5.4,7.0,3.3,0.77,NaN,0.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-06,3,15.7,9.3,12.2,6.8,2021-04-05T20:15,2021-04-06T09:14,46846.33,42794.14,5.70,6.15,0.00,0.00,0.00,0.00,0.0,NaN,18.6,23.8,42,20.22,3.43,12.7,9.6,0.0,0.0,0.0,87,100,7,1.8,3.1,1.2,3.43,NaN,NaN,NaN,NaN,48,60,38,0.00,1022.5,1026.2,1020.9,947.7,950.6,946.6,NaN,24140.00,24140.00,24140.00,42,14.0,9.3,5.8,2.5,7.1,8.6,5.4,1.11,NaN,0.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-07,3,17.0,11.7,13.6,9.0,2021-04-06T20:13,2021-04-07T09:15,47024.25,41908.48,5.50,6.25,0.00,0.00,0.00,0.00,0.0,NaN,23.0,42.1,281,17.26,3.94,14.3,11.0,0.0,0.0,0.0,100,100,100,2.9,3.5,1.8,3.94,NaN,NaN,NaN,NaN,46,55,38,0.00,1022.5,1023.9,1020.0,948.1,949.2,946.4,NaN,24140.00,24140.00,24140.00,281,25.1,12.5,12.6,4.2,8.4,9.6,7.1,1.20,NaN,0.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-08,3,17.7,10.8,14.3,7.8,2021-04-07T20:11,2021-04-08T09:17,47201.74,43454.19,5.60,6.20,0.00,0.00,0.00,0.00,0.0,NaN,16.1,25.2,285,19.38,4.02,14.7,11.5,0.0,0.0,0.0,64,100,17,2.9,3.8,1.6,4.02,NaN,NaN,NaN,NaN,46,60,34,0.00,1021.3,1023.5,1019.5,947.1,949.1,946.2,NaN,24140.00,24140.00,24140.00,285,12.0,11.3,3.2,4.8,8.6,9.9,6.8,1.34,NaN,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-09,3,19.9,11.7,17.5,7.8,2021-04-08T20:09,2021-04-09T09:18,47378.69,43659.73,6.25,6.25,0.00,0.00,0.00,0.00,0.0,NaN,17.3,36.4,266,23.53,5.19,16.0,12.7,4.2,30.0,0.0,23,100,0,1.2,4.1,-2.6,5.19,NaN,NaN,NaN,NaN,38,48,22,0.00,1019.6,1021.6,1017.7,945.8,947.5,945.0,NaN,24140.00,24140.00,24140.00,266,13.9,11.9,2.2,7.0,8.7,10.1,6.2,1.79,NaN,0.157,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-10,3,20.3,12.2,18.0,7.6,2021-04-09T20:08,2021-04-10T09:19,47554.97,43983.40,6.00,6.40,0.00,0.00,0.00,0.00,0.0,NaN,16.1,14.4,255,22.38,4.64,16.4,13.3,0.0,0.0,0.0,40,100,0,0.2,2.7,-2.3,4.64,NaN,NaN,NaN,NaN,34,41,25,0.00,1017.4,1019.8,1015.8,943.9,946.0,943.0,NaN,24140.00,24140.00,24140.00,255,8.0,8.8,2.5,2.5,8.5,10.4,5.8,1.79,NaN,0.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-11,3,22.2,10.0,19.0,5.9,2021-04-10T20:06,2021-04-11T09:20,47730.46,44322.39,6.15,6.35,0.00,0.00,0.00,0.00,0.0,NaN,14.8,41.8,58,24.02,5.14,16.6,13.1,0.0,0.0,0.0,14,100,0,-2.1,-0.0,-3.4,5.14,NaN,NaN,NaN,NaN,29,40,18,0.00,1017.2,1020.7,1013.9,943.7,945.7,942.0,NaN,24140.00,24140.00,24140.00,58,21.7,9.8,4.0,4.4,7.9,10.5,4.2,2.20,NaN,0.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-12,0,23.4,9.9,19.2,6.4,2021-04-11T20:04,2021-04-12T09:21,47905.04,44554.05,6.45,6.45,0.00,0.00,0.00,0.00,0.0,NaN,21.2,45.4,56,24.61,5.71,16.5,12.4,0.0,0.0,0.0,0,0,0,-3.7,-1.4,-5.3,5.71,NaN,NaN,NaN,NaN,26,37,16,0.00,1018.5,1021.1,1015.1,944.9,946.5,943.4,NaN,24140.00,24140.00,24140.00,56,21.6,12.3,5.0,2.1,7.3,10.7,3.8,2.39,NaN,0.139,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-13,3,22.7,12.5,19.2,9.6,2021-04-12T20:02,2021-04-13T09:23,48078.58,44538.63,6.60,6.60,0.00,0.00,0.00,0.00,0.0,NaN,19.7,43.9,283,24.78,5.76,17.6,14.0,0.0,0.0,0.0,16,100,0,-2.8,-0.1,-10.5,5.76,NaN,NaN,NaN,NaN,26,41,10,0.00,1019.5,1022.5,1016.7,946.2,948.3,944.6,NaN,24140.00,24140.00,24140.00,283,18.0,10.6,5.8,2.5,8.2,9.7,6.3,2.49,NaN,0.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-14,3,23.4,11.9,19.2,8.6,2021-04-13T20:01,2021-04-14T09:24,48250.96,44892.27,6.45,6.70,0.00,0.00,0.00,0.00,0.0,NaN,17.8,25.6,51,24.25,5.40,17.8,14.2,0.0,0.0,0.0,50,100,0,-3.7,-0.6,-5.6,5.40,NaN,NaN,NaN,NaN,24,33,14,0.00,1016.7,1021.8,1014.8,943.6,948.2,941.7,NaN,24140.00,24140.00,24140.00,51,14.5,8.8,4.0,2.7,8.0,10.3,5.0,2.48,NaN,0.132,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-15,3,24.4,12.4,20.4,8.8,2021-04-14T19:59,2021-04-15T09:25,48422.03,44872.61,6.70,6.70,0.00,0.00,0.00,0.00,0.0,NaN,15.8,24.8,51,24.79,5.60,18.3,14.6,0.0,0.0,0.0,57,100,0,-5.5,-3.2,-8.8,5.60,NaN,NaN,NaN,NaN,20,30,12,0.00,1013.1,1015.8,1010.3,940.4,942.1,939.2,NaN,24140.00,24140.00,24140.00,51,13.8,8.8,6.5,2.3,7.7,10.5,4.9,2.69,NaN,0.128,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-16,53,24.2,14.9,20.7,11.2,2021-04-15T19:57,2021-04-16T09:26,48591.67,40812.59,6.60,6.75,0.10,1.30,0.00,1.40,5.0,NaN,36.5,53.6,289,22.24,6.24,19.2,15.2,0.4,10.0,0.0,79,100,12,0.6,7.0,-7.5,6.24,NaN,NaN,NaN,NaN,33,59,12,0.00,1014.1,1018.0,1010.5,941.5,944.3,939.3,NaN,23279.17,15120.00,24140.00,289,28.2,16.9,5.8,8.7,10.1,11.5,7.2,2.66,NaN,0.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-17,51,21.9,13.1,18.1,9.3,2021-04-16T19:56,2021-04-17T09:27,48759.73,44018.39,6.10,6.75,0.00,0.20,0.00,0.20,1.0,NaN,39.6,47.5,224,15.41,4.99,16.5,11.8,18.8,90.0,0.0,54,100,5,3.8,5.9,1.0,4.99,NaN,NaN,NaN,NaN,44,50,25,0.00,1017.4,1019.2,1015.2,944.0,945.0,942.9,NaN,24140.00,24140.00,24140.00,224,27.2,23.1,4.3,4.3,9.8,11.4,7.5,1.97,NaN,0.140,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-18,3,22.0,14.1,19.4,7.3,2021-04-17T19:54,2021-04-18T09:29,48926.48,42431.92,6.85,6.90,0.00,0.00,0.00,0.00,0.0,NaN,41.3,63.0,261,21.14,6.40,17.8,13.0,3.8,30.0,0.0,96,100,60,3.0,5.5,-1.5,6.40,NaN,NaN,NaN,NaN,39,56,21,0.00,1016.7,1019.4,1013.9,943.6,945.4,942.0,NaN,24140.00,24140.00,24140.00,261,33.9,23.9,5.8,8.3,10.2,11.3,9.0,2.09,NaN,0.130,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-19,51,22.3,10.8,18.2,9.3,2021-04-18T19:53,2021-04-19T09:30,49093.07,45567.79,6.50,6.70,0.00,0.10,0.00,0.10,1.0,NaN,27.0,37.1,266,21.69,5.25,17.2,13.7,17.1,80.0,0.0,63,100,5,2.6,5.6,-2.4,5.25,NaN,NaN,NaN,NaN,41,70,19,0.00,1014.6,1018.4,1012.2,941.5,945.0,939.7,NaN,24112.50,23480.00,24140.00,266,23.4,13.7,5.8,2.2,9.7,10.9,7.7,2.18,NaN,0.118,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-20,3,22.1,12.4,19.1,10.3,2021-04-19T19:51,2021-04-20T09:31,49259.49,45659.17,5.75,6.75,0.00,0.00,0.00,0.00,0.0,NaN,42.7,44.3,272,20.21,4.97,16.7,13.4,1.2,20.0,0.0,90,101,18,4.1,6.2,-1.2,4.97,NaN,NaN,NaN,NaN,45,62,21,0.00,1009.0,1012.3,1006.9,936.2,939.2,933.4,NaN,24140.00,24140.00,24140.00,272,19.1,14.7,2.9,1.8,10.1,11.3,8.4,2.10,NaN,0.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-21,3,13.5,2.6,6.2,-3.8,2021-04-20T19:49,2021-04-21T09:32,49425.62,37630.29,6.00,6.65,0.00,0.00,0.00,0.00,0.0,NaN,47.4,77.0,270,13.99,2.99,6.4,-0.6,0.0,0.0,0.0,99,100,92,-2.3,4.8,-12.1,2.99,NaN,NaN,NaN,NaN,54,62,29,0.00,1020.6,1029.4,1010.3,944.3,952.0,936.3,NaN,23654.17,13300.00,24140.00,270,61.8,32.1,40.7,14.2,2.4,8.7,-1.5,0.71,NaN,0.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-22,3,10.5,4.0,1.6,-2.4,2021-04-21T19:48,2021-04-22T09:33,49591.34,45878.96,6.70,6.70,0.00,0.00,0.00,0.00,0.0,NaN,47.7,60.5,271,26.29,4.80,7.2,-0.3,0.0,0.0,0.0,15,100,0,-8.9,-4.1,-12.5,4.80,NaN,NaN,NaN,NaN,33,53,20,0.00,1031.4,1034.1,1027.2,954.6,956.8,951.5,NaN,24140.00,24140.00,24140.00,271,48.2,32.0,38.2,18.8,1.2,2.7,-0.1,1.02,NaN,0.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-23,0,10.6,0.4,2.1,-5.2,2021-04-22T19:46,2021-04-23T09:34,49756.54,45971.04,6.75,6.75,0.00,0.00,0.00,0.00,0.0,NaN,47.2,63.4,273,27.71,5.01,6.2,-1.3,0.0,0.0,0.0,0,6,0,-12.3,-10.1,-15.1,5.01,NaN,NaN,NaN,NaN,26,39,15,0.00,1030.3,1032.8,1028.0,953.3,956.2,952.1,NaN,24140.00,24140.00,24140.00,273,47.2,30.3,8.6,13.7,-0.0,2.3,-3.7,1.08,NaN,0.144,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-24,3,13.7,4.7,7.9,0.6,2021-04-23T19:45,2021-04-24T09:36,49921.07,46060.85,6.90,6.90,0.00,0.00,0.00,0.00,0.0,NaN,19.5,37.1,360,27.41,4.68,8.6,3.9,0.0,0.0,0.0,67,100,0,-14.1,-10.7,-19.5,4.68,NaN,NaN,NaN,NaN,20,28,9,0.00,1027.5,1030.0,1024.6,951.3,952.8,949.8,NaN,24140.00,24140.00,24140.00,360,20.8,11.4,7.2,1.6,1.2,3.3,-0.8,1.43,NaN,0.144,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-25,3,18.2,9.6,14.8,4.8,2021-04-24T19:43,2021-04-25T09:37,50084.82,46105.88,6.70,6.95,0.00,0.00,0.00,0.00,0.0,NaN,13.2,19.4,100,23.82,4.82,14.7,10.6,0.0,0.0,0.0,83,100,8,-9.5,-0.1,-12.9,4.82,NaN,NaN,NaN,NaN,19,31,13,0.00,1023.1,1027.1,1021.4,948.7,951.2,946.7,NaN,24140.00,24140.00,24140.00,100,10.1,8.1,2.5,1.6,5.2,9.1,1.9,1.80,NaN,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-26,3,23.7,11.9,20.3,8.9,2021-04-25T19:42,2021-04-26T09:38,50247.66,46291.12,6.70,7.05,0.00,0.00,0.00,0.00,0.0,NaN,30.9,41.4,297,26.01,6.13,18.5,15.0,0.0,0.0,0.0,50,100,0,0.9,2.2,-0.2,6.13,NaN,NaN,NaN,NaN,32,48,21,0.00,1022.1,1023.7,1020.0,948.8,950.4,947.9,NaN,24140.00,24140.00,24140.00,297,20.0,12.8,3.2,1.5,9.7,11.9,6.5,2.32,NaN,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-27,3,27.3,15.1,22.6,12.6,2021-04-26T19:40,2021-04-27T09:39,50409.45,46441.93,7.15,7.15,0.00,0.00,0.00,0.00,0.0,NaN,23.7,26.3,80,26.95,6.61,21.0,17.6,0.0,0.0,0.0,21,100,0,-0.3,1.8,-1.0,6.61,NaN,NaN,NaN,NaN,25,35,16,0.00,1016.7,1021.5,1014.7,944.3,948.2,942.5,NaN,24140.00,24140.00,24140.00,80,18.5,11.4,7.9,1.4,10.5,13.0,7.7,3.05,NaN,0.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-28,0,30.8,19.7,28.1,15.5,2021-04-27T19:39,2021-04-28T09:40,50570.06,46600.18,7.20,7.20,0.00,0.00,0.00,0.00,0.0,NaN,19.0,15.5,245,27.49,7.51,25.1,21.7,0.0,0.0,0.0,0,0,0,-0.8,0.5,-3.1,7.51,NaN,NaN,NaN,NaN,19,26,11,0.00,1012.2,1015.5,1010.3,941.1,943.6,940.2,NaN,24140.00,24140.00,24140.00,245,9.6,11.1,2.5,4.7,12.1,14.1,10.0,3.96,NaN,0.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-29,0,32.0,20.3,29.5,16.1,2021-04-28T19:37,2021-04-29T09:42,50729.35,46693.05,7.30,7.30,0.00,0.00,0.00,0.00,0.0,NaN,16.1,14.4,168,27.54,7.66,26.5,23.2,0.0,0.0,0.0,0,6,0,-1.2,1.2,-3.4,7.66,NaN,NaN,NaN,NaN,17,24,10,0.00,1007.9,1011.4,1006.0,937.4,940.7,936.1,NaN,24140.00,24140.00,24140.00,168,5.9,10.3,1.4,3.4,12.5,14.5,10.0,4.28,NaN,0.100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-30,53,33.0,15.8,30.3,6.0,2021-04-29T19:36,2021-04-30T09:43,50887.18,38705.82,7.40,7.40,1.50,0.60,0.00,2.10,6.0,NaN,92.2,102.6,282,25.12,8.21,24.4,19.6,8.3,80.0,0.0,53,100,0,4.8,12.2,-2.7,8.21,NaN,NaN,NaN,NaN,37,77,10,0.00,1008.7,1019.6,1002.2,937.6,945.9,933.2,NaN,22996.67,8620.00,24140.00,282,37.9,28.7,5.8,9.1,13.8,14.8,11.7,4.53,NaN,0.097,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-05-01,3,18.6,11.4,12.4,8.1,2021-04-30T19:34,2021-05-01T09:44,51043.39,47032.95,7.05,7.40,0.00,0.00,0.00,0.00,0.0,NaN,49.4,66.6,264,23.19,4.72,15.0,10.3,1.2,10.0,0.0,73,100,6,2.9,7.7,0.2,4.72,NaN,NaN,NaN,NaN,45,57,34,0.00,1022.1,1023.5,1020.2,947.9,948.8,946.6,NaN,24140.00,24140.00,24140.00,264,31.0,22.1,1.4,4.0,8.7,11.3,6.2,1.36,NaN,0.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN
